"id";"nama_kel";"kecamatan";"laki_laki";"perempuan";"KK";"rw";"rt";"islam";"kristen";"katholik";"hindu";"budha";"konghuchu";"lainya";"belum_kawin_lakilaki";"kawin_lakilaki";"cerai_hidup_lakilaki";"cerai_mati_lakilaki";"belum_kawin_perempuan";"kawin_perempuan";"cerai_hidup_perempuan";"cerai_mati_perempuan";"belumsekolah_lakilaki";"belumtamatSD_lakilaki";"sd/sederajat_lakilaki";"smp/sederajat_lakilaki";"sma/sederajat_lakilaki";"di/dii_lakilaki";"diii_lakilaki";"s1/div_lakilaki";"s2_lakilaki";"s3_lakilaki";"belumsekolah_perempuan";"belumtamatSD_perempuan";"sd/sederajat_perempuan";"smp/sederajat_perempuan";"sma/sederajat_perempuan";"di/dii_perempuan";"diii_perempuan";"s1/div_perempuan";"s2_perempuan";"s3_perempuan";"lakilaki_AKUNTAN";"lakilaki_ANGGOTA_DPRD_KABUPATEN/KOTA";"lakilaki_ANGGOTA_DPR-RI";"lakilaki_APOTEKER";"lakilaki_ARSITEK";"lakilaki_BELUM/TIDAK_BEKERJA";"lakilaki_BIARAWATI";"lakilaki_BIDAN";"lakilaki_BURUH_HARIAN_LEPAS";"lakilaki_BURUH_NELAYAN/PERIKANAN";"lakilaki_BURUH_PETERNAKAN";"lakilaki_BURUH_TANI/PERKEBUNAN";"lakilaki_DOKTER";"lakilaki_DOSEN";"lakilaki_GURU";"lakilaki_IMAM_MESJID";"lakilaki_INDUSTRI";"lakilaki_JURU_MASAK";"lakilaki_KARYAWAN_BUMD";"lakilaki_KARYAWAN_BUMN";"lakilaki_KARYAWAN_HONORER";"lakilaki_KARYAWAN_SWASTA";"lakilaki_KEPOLISIAN_RI";"lakilaki_KONSTRUKSI";"lakilaki_KONSULTAN";"lakilaki_LAINNYA";"lakilaki_MEKANIK";"lakilaki_MENGURUS_RUMAH_TANGGA";"lakilaki_NELAYAN/PERIKANAN";"lakilaki_NOTARIS";"lakilaki_PARAJI";"lakilaki_PASTOR";"lakilaki_PEDAGANG";"lakilaki_PEGAWAI_NEGERI_SIPIL";"lakilaki_PELAJAR/MAHASISWA";"lakilaki_PELAUT";"lakilaki_PEMBANTU_RUMAH_TANGGA";"lakilaki_PENATA_BUSANA";"lakilaki_PENATA_RAMBUT";"lakilaki_PENATA_RIAS";"lakilaki_PENDETA";"lakilaki_PENELITI";"lakilaki_PENGACARA";"lakilaki_PENSIUNAN";"lakilaki_PENTERJEMAH";"lakilaki_PENYIAR_RADIO";"lakilaki_PERANCANG_BUSANA";"lakilaki_PERANGKAT_DESA";"lakilaki_PERAWAT";"lakilaki_PERDAGANGAN";"lakilaki_PETANI/PEKEBUN";"lakilaki_PETERNAK";"lakilaki_PIALANG";"lakilaki_PILOT";"lakilaki_PSIKIATER/PSIKOLOG";"lakilaki_SENIMAN";"lakilaki_SOPIR";"lakilaki_TABIB";"lakilaki_TENTARA_NASIONAL_INDONESIA";"lakilaki_TRANSPORTASI";"lakilaki_TUKANG_BATU";"lakilaki_TUKANG_CUKUR";"lakilaki_TUKANG_GIGI";"lakilaki_TUKANG_JAHIT";"lakilaki_TUKANG_KAYU";"lakilaki_TUKANG_LAS/PANDAI_BESI";"lakilaki_TUKANG_LISTRIK";"lakilaki_TUKANG_SOL_SEPATU";"lakilaki_USTADZ/MUBALIGH";"lakilaki_WAKIL_WALIKOTA";"lakilaki_WALIKOTA";"lakilaki_WARTAWAN";"lakilaki_WIRASWASTA";"perempuan_AKUNTAN";"perempuan_ANGGOTA_DPRD_KABUPATEN/KOTA";"perempuan_ANGGOTA_DPR-RI";"perempuan_APOTEKER";"perempuan_ARSITEK";"perempuan_BELUM/TIDAK_BEKERJA";"perempuan_BIARAWATI";"perempuan_BIDAN";"perempuan_BURUH_HARIAN_LEPAS";"perempuan_BURUH_NELAYAN/PERIKANAN";"perempuan_BURUH_PETERNAKAN";"perempuan_BURUH_TANI/PERKEBUNAN";"perempuan_DOKTER";"perempuan_DOSEN";"perempuan_GURU";"perempuan_IMAM_MESJID";"perempuan_INDUSTRI";"perempuan_JURU_MASAK";"perempuan_KARYAWAN_BUMD";"perempuan_KARYAWAN_BUMN";"perempuan_KARYAWAN_HONORER";"perempuan_KARYAWAN_SWASTA";"perempuan_KEPOLISIAN_RI";"perempuan_KONSTRUKSI";"perempuan_KONSULTAN";"perempuan_LAINNYA";"perempuan_MEKANIK";"perempuan_MENGURUS_RUMAH_TANGGA";"perempuan_NELAYAN/PERIKANAN";"perempuan_NOTARIS";"perempuan_PARAJI";"perempuan_PASTOR";"perempuan_PEDAGANG";"perempuan_PEGAWAI_NEGERI_SIPIL";"perempuan_PELAJAR/MAHASISWA";"perempuan_PELAUT";"perempuan_PEMBANTU_RUMAH_TANGGA";"perempuan_PENATA_BUSANA";"perempuan_PENATA_RAMBUT";"perempuan_PENATA_RIAS";"perempuan_PENDETA";"perempuan_PENELITI";"perempuan_PENGACARA";"perempuan_PENSIUNAN";"perempuan_PENTERJEMAH";"perempuan_PENYIAR_RADIO";"perempuan_PERANCANG_BUSANA";"perempuan_PERANGKAT_DESA";"perempuan_PERAWAT";"perempuan_PERDAGANGAN";"perempuan_PETANI/PEKEBUN";"perempuan_PETERNAK";"perempuan_PIALANG";"perempuan_PILOT";"perempuan_PSIKIATER/PSIKOLOG";"perempuan_SENIMAN";"perempuan_SOPIR";"perempuan_TABIB";"perempuan_TENTARA_NASIONAL_INDONESIA";"perempuan_TRANSPORTASI";"perempuan_TUKANG_BATU";"perempuan_TUKANG_CUKUR";"perempuan_TUKANG_GIGI";"perempuan_TUKANG_JAHIT";"perempuan_TUKANG_KAYU";"perempuan_TUKANG_LAS/PANDAI_BESI";"perempuan_TUKANG_LISTRIK";"perempuan_TUKANG_SOL_SEPATU";"perempuan_USTADZ/MUBALIGH";"perempuan_WAKIL_WALIKOTA";"perempuan_WALIKOTA";"perempuan_WARTAWAN";"perempuan_WIRASWASTA"
"1";"Bantarsari";"Bungursari";"6025";"5804";"3890";"17";"66";"11572";"240";"16";"0";"1";"0";"0";"2935";"2882";"94";"114";"2366";"2834";"176";"428";"1";"625";"2";"928";"1";"20";"79";"307";"23";"2";"929";"552";"2";"914";"1";"29";"122";"300";"6";"1";"0";"1";"0";"0";"0";"1211";"0";"0";"1610";"0";"1";"18";"2";"7";"27";"1";"0";"0";"6";"28";"39";"419";"13";"1";"1";"0";"1";"1";"0";"0";"0";"0";"277";"87";"1266";"3";"0";"0";"1";"0";"0";"0";"2";"47";"0";"0";"0";"0";"3";"29";"15";"0";"0";"0";"0";"0";"41";"0";"8";"5";"0";"0";"0";"3";"2";"1";"0";"0";"1";"0";"0";"1";"846";"0";"0";"0";"3";"0";"1077";"0";"12";"71";"0";"0";"7";"3";"2";"52";"0";"0";"0";"2";"12";"35";"171";"0";"0";"0";"0";"0";"2754";"0";"0";"0";"0";"128";"79";"1223";"0";"4";"0";"0";"1";"0";"0";"0";"28";"0";"0";"0";"0";"3";"14";"4";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"116"
"2";"Bungursari";"Bungursari";"3458";"3406";"2184";"12";"46";"6859";"5";"0";"0";"0";"0";"0";"1735";"1625";"52";"46";"1427";"1648";"86";"245";"602";"359";"1";"594";"569";"6";"19";"82";"1";"1";"584";"352";"1";"586";"490";"15";"36";"87";"2";"0";"0";"0";"0";"0";"0";"758";"0";"0";"1168";"1";"1";"23";"0";"1";"18";"0";"0";"0";"0";"0";"22";"148";"9";"0";"0";"1";"3";"0";"0";"0";"0";"0";"70";"25";"681";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"2";"17";"22";"4";"0";"0";"0";"0";"10";"0";"1";"6";"5";"0";"0";"4";"0";"0";"1";"0";"16";"0";"0";"0";"433";"0";"0";"0";"0";"0";"706";"0";"5";"49";"0";"0";"11";"0";"0";"28";"0";"0";"0";"0";"0";"21";"46";"3";"0";"0";"0";"0";"1778";"0";"0";"1";"0";"13";"19";"697";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"21"
"3";"Cibunigeulis";"Bungursari";"4408";"4220";"2797";"9";"44";"8510";"101";"17";"0";"0";"0";"0";"2131";"2182";"44";"51";"1699";"2167";"107";"247";"789";"452";"1";"701";"851";"11";"46";"172";"9";"0";"747";"430";"1";"650";"773";"16";"61";"176";"6";"0";"0";"0";"0";"0";"0";"952";"0";"0";"1357";"1";"0";"29";"3";"2";"12";"1";"0";"0";"1";"12";"20";"312";"6";"0";"0";"0";"2";"0";"0";"0";"0";"0";"94";"35";"844";"3";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"5";"7";"22";"0";"0";"0";"0";"0";"42";"1";"2";"0";"2";"0";"0";"1";"1";"0";"0";"0";"4";"0";"0";"0";"619";"0";"0";"0";"0";"0";"864";"0";"11";"36";"0";"0";"0";"2";"2";"38";"0";"0";"0";"1";"1";"22";"141";"0";"0";"0";"0";"0";"2191";"0";"0";"0";"0";"19";"27";"797";"0";"1";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"5";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"52"
"4";"Sukajaya";"Bungursari";"3275";"3123";"2072";"10";"38";"6358";"26";"13";"0";"0";"0";"1";"1603";"1598";"38";"36";"1224";"1603";"76";"220";"632";"336";"1";"565";"523";"8";"23";"71";"3";"1";"563";"293";"1";"505";"473";"17";"25";"67";"3";"0";"0";"0";"0";"1";"0";"731";"0";"0";"1162";"0";"0";"12";"0";"1";"10";"0";"0";"0";"4";"5";"14";"122";"8";"0";"0";"0";"0";"2";"0";"0";"0";"0";"125";"30";"622";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"1";"0";"0";"0";"6";"6";"0";"0";"0";"0";"0";"20";"0";"4";"1";"0";"0";"0";"3";"1";"2";"0";"0";"1";"0";"0";"1";"369";"0";"0";"0";"2";"0";"676";"0";"5";"75";"0";"0";"4";"0";"0";"11";"0";"0";"0";"0";"4";"9";"53";"0";"0";"0";"1";"0";"1664";"0";"0";"0";"0";"28";"18";"538";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"32"
"5";"Sukalaksana";"Bungursari";"4061";"3868";"2598";"12";"34";"7929";"0";"0";"0";"0";"0";"0";"2072";"1892";"44";"53";"1545";"1926";"107";"290";"662";"431";"2";"699";"590";"8";"9";"53";"5";"0";"623";"377";"2";"637";"448";"7";"19";"57";"2";"0";"0";"0";"0";"0";"0";"836";"0";"0";"1372";"2";"0";"20";"0";"1";"10";"0";"0";"0";"0";"6";"11";"136";"2";"0";"0";"2";"1";"1";"0";"0";"0";"0";"83";"21";"804";"1";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"1";"14";"39";"1";"0";"0";"0";"0";"19";"0";"3";"0";"0";"0";"0";"5";"0";"0";"0";"0";"13";"0";"0";"0";"648";"0";"0";"0";"0";"0";"797";"0";"4";"37";"0";"0";"8";"0";"1";"17";"0";"0";"0";"0";"0";"9";"46";"1";"0";"0";"0";"0";"2172";"0";"0";"0";"0";"5";"13";"732";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"2";"3";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13"
"6";"Sukamulya";"Bungursari";"3876";"3645";"2353";"10";"34";"7388";"106";"22";"0";"5";"0";"0";"1969";"1804";"52";"51";"1525";"1789";"111";"220";"669";"386";"1";"562";"942";"18";"43";"202";"17";"2";"645";"371";"1";"512";"800";"19";"78";"185";"6";"0";"0";"1";"0";"1";"0";"863";"0";"0";"919";"0";"1";"6";"1";"1";"7";"0";"0";"0";"3";"15";"19";"281";"60";"0";"0";"0";"5";"1";"0";"0";"0";"0";"108";"67";"844";"1";"1";"0";"0";"0";"0";"0";"0";"28";"0";"0";"0";"0";"4";"26";"10";"0";"0";"0";"0";"1";"13";"0";"3";"4";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0";"0";"577";"0";"0";"0";"2";"0";"733";"0";"9";"49";"0";"0";"1";"2";"0";"16";"0";"0";"0";"2";"7";"18";"121";"3";"0";"0";"0";"0";"1728";"0";"0";"2";"0";"36";"60";"732";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"1";"0";"0";"7";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62"
"7";"Sukarindik";"Bungursari";"5465";"5342";"3338";"12";"57";"10578";"183";"46";"0";"0";"0";"0";"2823";"2490";"91";"61";"2354";"2504";"141";"343";"946";"536";"1";"816";"1";"27";"117";"412";"51";"1";"892";"566";"1";"800";"1";"40";"120";"394";"16";"0";"0";"0";"0";"3";"2";"1144";"0";"0";"1366";"2";"0";"18";"4";"11";"32";"0";"1";"0";"8";"27";"19";"410";"44";"1";"0";"2";"1";"3";"0";"0";"0";"0";"93";"174";"1257";"0";"0";"0";"0";"0";"0";"0";"4";"43";"0";"0";"0";"0";"2";"14";"16";"0";"0";"0";"0";"2";"28";"0";"5";"2";"2";"0";"0";"6";"1";"0";"0";"0";"6";"0";"0";"0";"712";"0";"0";"0";"3";"0";"1041";"0";"5";"65";"0";"0";"1";"4";"6";"64";"0";"0";"0";"3";"17";"32";"184";"9";"0";"0";"0";"0";"2396";"0";"0";"0";"0";"24";"129";"1229";"0";"3";"0";"0";"0";"0";"0";"0";"24";"0";"1";"0";"0";"5";"4";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"90"
"8";"Awipari";"Cibeureum";"2858";"2816";"1944";"7";"32";"5673";"1";"0";"0";"0";"0";"0";"1392";"1378";"40";"48";"1102";"1357";"80";"277";"449";"289";"602";"482";"723";"13";"39";"222";"34";"5";"450";"249";"760";"476";"542";"25";"64";"238";"11";"1";"0";"0";"0";"1";"0";"586";"0";"0";"494";"0";"0";"20";"2";"6";"15";"0";"0";"0";"5";"20";"33";"189";"5";"0";"0";"0";"0";"2";"0";"0";"0";"0";"45";"91";"632";"1";"0";"0";"0";"0";"0";"1";"0";"52";"0";"1";"0";"0";"1";"25";"15";"0";"0";"0";"0";"0";"7";"0";"18";"1";"2";"1";"0";"4";"1";"0";"0";"0";"21";"1";"0";"0";"560";"0";"0";"0";"1";"0";"525";"0";"8";"34";"0";"0";"6";"2";"3";"40";"0";"0";"0";"2";"0";"48";"68";"0";"0";"0";"1";"0";"1327";"0";"1";"0";"0";"12";"94";"548";"0";"2";"0";"0";"0";"0";"0";"0";"37";"0";"0";"0";"0";"6";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"39"
"9";"Ciakar";"Cibeureum";"3524";"3458";"2389";"11";"52";"6976";"6";"0";"0";"0";"0";"0";"1651";"1774";"57";"42";"1327";"1762";"94";"275";"514";"388";"1";"659";"633";"10";"25";"133";"4";"1";"542";"338";"1";"616";"591";"13";"35";"112";"1";"0";"0";"0";"0";"0";"0";"638";"0";"0";"1340";"0";"0";"19";"0";"3";"6";"0";"0";"0";"2";"7";"29";"203";"5";"0";"0";"2";"2";"1";"0";"0";"0";"0";"36";"37";"706";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"3";"31";"20";"0";"0";"0";"0";"0";"13";"0";"8";"6";"1";"1";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"356";"0";"0";"0";"0";"0";"650";"0";"2";"67";"0";"0";"11";"0";"0";"11";"0";"0";"0";"1";"1";"33";"95";"1";"0";"0";"0";"0";"1865";"0";"0";"0";"0";"9";"26";"636";"0";"2";"0";"0";"2";"0";"0";"0";"9";"0";"0";"0";"0";"3";"6";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24"
"10";"Ciherang";"Cibeureum";"4289";"4146";"2808";"15";"52";"8426";"9";"0";"0";"0";"0";"0";"2086";"2101";"61";"41";"1624";"2107";"115";"300";"728";"413";"1";"721";"921";"14";"43";"193";"7";"0";"652";"384";"1";"703";"818";"19";"55";"180";"9";"0";"0";"0";"0";"1";"0";"889";"0";"0";"1131";"0";"2";"16";"0";"1";"17";"0";"0";"0";"1";"10";"33";"249";"7";"0";"1";"2";"3";"1";"0";"0";"0";"0";"75";"70";"903";"1";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"0";"0";"4";"17";"17";"1";"0";"0";"0";"0";"13";"0";"7";"0";"0";"0";"0";"14";"0";"0";"0";"0";"11";"0";"0";"0";"742";"0";"0";"0";"0";"0";"749";"0";"6";"61";"0";"0";"6";"0";"3";"30";"0";"0";"0";"0";"0";"35";"126";"0";"0";"0";"0";"0";"2174";"0";"0";"1";"0";"7";"63";"817";"0";"0";"0";"2";"0";"1";"0";"0";"11";"0";"0";"0";"0";"5";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"2";"0";"0";"0";"40"
